model,seed,best_epoch,train_time_s,threshold,val_illicit_precision,val_illicit_recall,val_illicit_f1,val_macro_f1,val_micro_f1,val_roc_auc,val_pr_auc,val_threshold,test_illicit_precision,test_illicit_recall,test_illicit_f1,test_macro_f1,test_micro_f1,test_roc_auc,test_pr_auc,test_threshold,use_edge_attr,use_gate,use_time_feat,use_jk,loss
A_full,42,172,19.99,0.8500000000000003,0.909710391822828,0.9035532994923858,0.9066213921901528,0.9439057713344745,0.968687731283803,0.9851308875662891,0.9486641816044409,0.8500000000000003,0.6419981498612396,0.6408125577100646,0.6414048059149723,0.8082569320824541,0.9534493101379724,0.8985263425655812,0.6576012656106192,0.8500000000000003,True,True,True,True,weighted_bce
A_full,123,185,14.32,0.7500000000000002,0.8597972972972973,0.8612521150592216,0.8605240912933221,0.9161425864647339,0.9530315969257045,0.9819323852772189,0.9144207065056958,0.7500000000000002,0.4468864468864469,0.6759002770083102,0.538037486218302,0.7484922726169729,0.9245950809838033,0.8959376794391661,0.62115379033506,0.7500000000000002,True,True,True,True,weighted_bce
A_full,2026,81,7.36,0.7000000000000003,0.864,0.9137055837563451,0.8881578947368421,0.9323749886765106,0.9612866495872474,0.982752929813041,0.9387388755131418,0.7000000000000003,0.6005639097744361,0.590027700831025,0.5952491849091756,0.7836951852157842,0.9478704259148171,0.8917581186253835,0.6142443486934994,0.7000000000000003,True,True,True,True,weighted_bce
A_full,7,202,24.1,0.7750000000000002,0.8905982905982905,0.8815566835871405,0.8860544217687075,0.9315742194313623,0.9618559635639055,0.9829651595747761,0.9212165396111311,0.7750000000000002,0.47151681537405626,0.6343490304709142,0.5409448818897638,0.7515438695163105,0.9300539892021595,0.888273611061992,0.5637032258430364,0.7750000000000002,True,True,True,True,weighted_bce
A_full,314,195,12.98,0.9250000000000004,0.8793969849246231,0.8883248730964467,0.8838383838383839,0.930100075783529,0.9607173356105893,0.9828869849012856,0.9331236991214475,0.9250000000000004,0.5772151898734177,0.631578947368421,0.6031746031746031,0.7871048093112974,0.946010797840432,0.8835718272933959,0.6276515657498092,0.9250000000000004,True,True,True,True,weighted_bce
B_no_edge,42,174,14.18,0.7750000000000002,0.9023569023569024,0.9069373942470389,0.9046413502109705,0.9426476739070604,0.9678337603188158,0.9860883825486333,0.9504077129713688,0.7750000000000002,0.6350230414746544,0.6361957525392429,0.6356088560885609,0.8051327996598329,0.9526094781043791,0.8985798651609725,0.6620752348251703,0.7750000000000002,False,True,True,True,weighted_bce
B_no_edge,123,106,16.32,0.6750000000000003,0.8414023372287145,0.8527918781725888,0.8470588235294118,0.9079365399346853,0.9481924281241104,0.9749082460961884,0.8982301012259688,0.6750000000000003,0.42613981762917935,0.6472760849492152,0.5139296187683284,0.7353066361187781,0.9204559088182364,0.8892829577599205,0.580952405212101,0.6750000000000003,False,True,True,True,weighted_bce
B_no_edge,2026,129,9.79,0.9000000000000004,0.9022687609075044,0.8747884940778342,0.8883161512027491,0.9330697098558952,0.9629945915172218,0.9828658487858605,0.9382578436305379,0.9000000000000004,0.5950248756218905,0.5521698984302862,0.5727969348659003,0.7721273807824958,0.946490701859628,0.8835497310807993,0.5862351158728814,0.9000000000000004,False,True,True,True,weighted_bce
B_no_edge,7,132,12.64,0.6750000000000003,0.8362204724409449,0.8984771573604061,0.866231647634584,0.9189778927828093,0.9533162539140336,0.9815082152895763,0.9189189704882251,0.6750000000000003,0.3867713004484305,0.6371191135734072,0.48133937914196023,0.7162710415875193,0.9107978404319136,0.8879887891044465,0.5379486686338679,0.6750000000000003,False,True,True,True,weighted_bce
B_no_edge,314,187,20.61,0.5500000000000003,0.866231647634584,0.8984771573604061,0.8820598006644518,0.9288347783810064,0.9595787076572729,0.9830106166997317,0.9362480465622557,0.5500000000000003,0.5685449957947856,0.6241920590951062,0.5950704225352113,0.782728979775395,0.9448110377924415,0.8829673803624857,0.6356808923684808,0.5500000000000003,False,True,True,True,weighted_bce
