model,seed,best_epoch,train_time_s,threshold,val_illicit_precision,val_illicit_recall,val_illicit_f1,val_macro_f1,val_micro_f1,val_roc_auc,val_pr_auc,val_threshold,test_illicit_precision,test_illicit_recall,test_illicit_f1,test_macro_f1,test_micro_f1,test_roc_auc,test_pr_auc,test_threshold
MLP,42,398,5.2,0.7000000000000003,0.791095890410959,0.7817258883248731,0.7863829787234042,0.8717421644599759,0.9285510959294051,0.9572998351962069,0.8042258912942536,0.7000000000000003,0.4098258706467662,0.6084949215143121,0.48978075065031584,0.7224916021188543,0.9176364727054589,0.8745711750108304,0.4919203112630887,0.7000000000000003
MLP,123,399,4.7,0.6750000000000003,0.7789115646258503,0.7749576988155669,0.7769296013570822,0.8659746347814998,0.9251352120694563,0.9528919417546567,0.7872822124098384,0.6750000000000003,0.42876076872100727,0.5974145891043398,0.4992283950617284,0.7285071336567911,0.9221355728854229,0.8749331263753485,0.5069687080915246,0.6750000000000003
MLP,2026,400,4.72,0.6750000000000003,0.7642276422764228,0.7952622673434856,0.7794361525704809,0.8668658426082645,0.9242812411044691,0.9536991676424024,0.7891672212251029,0.6750000000000003,0.39362912400455063,0.6389658356417359,0.4871524111228441,0.7196901765112892,0.9125974805038992,0.8791433138430521,0.5232272151077038,0.6750000000000003
MLP,7,381,4.76,0.6750000000000003,0.7770491803278688,0.8020304568527918,0.7893422148209825,0.8729543692130664,0.9279817819527469,0.9591198574093955,0.8114081022293436,0.6750000000000003,0.3973509933774834,0.6094182825484764,0.48104956268221577,0.7172537655220466,0.9145770845830834,0.8776182012604793,0.5313105937043214,0.6750000000000003
MLP,314,400,7.48,0.7000000000000003,0.7618270799347472,0.7901861252115059,0.7757475083056479,0.8646858462174065,0.9231426131511529,0.9559089050797324,0.7913624207379786,0.7000000000000003,0.3616910229645094,0.6398891966759003,0.4621540513504501,0.7044958319110116,0.9032393521295741,0.8727421062169085,0.4835037677063516,0.7000000000000003
GCN,42,400,14.35,0.7000000000000003,0.6571428571428571,0.739424703891709,0.695859872611465,0.8148276832728035,0.8912610304582977,0.9242556902476228,0.7091353916326507,0.7000000000000003,0.40778210116731517,0.4838411819021237,0.44256756756756754,0.6999742138496496,0.9208158368326335,0.8422112716631002,0.39085053583895835,0.7000000000000003
GCN,123,400,7.41,0.7000000000000003,0.6219178082191781,0.7681895093062606,0.6873580620741863,0.8074827120186883,0.8824366638200968,0.9216539212995295,0.6909838988366613,0.7000000000000003,0.3025210084033613,0.5318559556786704,0.3856712420488785,0.6626079664268707,0.8899220155968807,0.8391988410921548,0.339798673601109,0.7000000000000003
GCN,2026,400,7.0,0.7000000000000003,0.6316526610644257,0.7631133671742809,0.6911877394636016,0.8103727545421486,0.8852832337033875,0.9234976854505931,0.6924119592234342,0.7000000000000003,0.3449116392443632,0.5226223453370268,0.4155653450807636,0.6817831951429425,0.904499100179964,0.8386492496380931,0.3605804378481141,0.7000000000000003
GCN,7,381,10.21,0.7250000000000003,0.7080062794348508,0.7631133671742809,0.7345276872964169,0.8391507011852902,0.9072018218047253,0.9355394805263993,0.7507584857790226,0.7250000000000003,0.4106364428945074,0.43490304709141275,0.4224215246636771,0.6905100230197203,0.9227354529094182,0.8364915218964877,0.373808694518836,0.7250000000000003
GCN,314,385,11.42,0.6750000000000003,0.691114245416079,0.8291032148900169,0.7538461538461538,0.8489803594938069,0.9089097637346997,0.9412265432549155,0.7584949592331653,0.6750000000000003,0.37888647866955893,0.4838411819021237,0.42497972424979724,0.6895255555886546,0.9149370125974805,0.8449401835383691,0.3842620732947377,0.6750000000000003
GraphSAGE,42,136,3.32,0.7500000000000002,0.8115702479338843,0.8307952622673435,0.8210702341137124,0.8921817722884171,0.9390834044975804,0.965923949361342,0.8652324356855137,0.7500000000000002,0.42653721682847895,0.6084949215143121,0.5015220700152208,0.7294338664741381,0.9214157168566287,0.8808628494008046,0.5564249631066995,0.7500000000000002
GraphSAGE,123,203,4.46,0.7000000000000003,0.7897990726429676,0.8646362098138748,0.8255250403877221,0.8941032251005645,0.9385140905209223,0.9706480159267867,0.8824941034102457,0.7000000000000003,0.4258461538461538,0.6389658356417359,0.5110782865583456,0.7339277564941115,0.9205758848230354,0.8852067396884293,0.5751277597711861,0.7000000000000003
GraphSAGE,2026,399,6.8,0.7250000000000003,0.8330578512396695,0.8527918781725888,0.842809364548495,0.9052811831318804,0.946484486194136,0.9683803713239082,0.8708417185689517,0.7250000000000003,0.43455497382198954,0.6131117266851339,0.5086173879739564,0.7334326485575793,0.9230353929214157,0.8793612547710492,0.5566320475488817,0.7250000000000003
GraphSAGE,7,397,6.8,0.7250000000000003,0.796875,0.8629441624365483,0.8285946385052803,0.8960919698134684,0.9399373754625676,0.9675853059409277,0.8840892121810604,0.7250000000000003,0.41158156911581567,0.6103416435826408,0.4916325771662328,0.7235168530018956,0.917996400719856,0.8771328546926402,0.5438246067468768,0.7250000000000003
GraphSAGE,314,399,10.73,0.7750000000000002,0.8389261744966443,0.8460236886632826,0.8424599831508003,0.9052169756480153,0.9467691431824651,0.9719619295130818,0.8882034501833034,0.7750000000000002,0.43148880105401843,0.6048014773776547,0.5036524413687044,0.7308268387916426,0.9225554889022196,0.8780880864034186,0.5480151578230207,0.7750000000000002
GAT,42,353,20.64,0.8000000000000003,0.7660626029654036,0.7868020304568528,0.7762938230383973,0.865154461278979,0.923711927127811,0.9561272150938502,0.8198995626411962,0.8000000000000003,0.4513422818791946,0.4967682363804247,0.47296703296703296,0.7171852708694814,0.9280743851229754,0.8624384290220779,0.47806877604271264,0.8000000000000003
GAT,123,380,25.55,0.8000000000000003,0.7612903225806451,0.7986463620981388,0.7795210569777044,0.8668026609050172,0.92399658411614,0.9592576764634009,0.850378128962616,0.8000000000000003,0.4815119145439606,0.541089566020314,0.5095652173913043,0.7366125056028687,0.9323335332933413,0.873355912937605,0.5542883363179941,0.8000000000000003
GAT,2026,400,15.58,0.7000000000000003,0.6892655367231638,0.8257191201353637,0.7513471901462664,0.8474738395292184,0.9080557927697125,0.9568261545820204,0.8333687966920931,0.7000000000000003,0.4296875,0.5586334256694367,0.4857486953030911,0.7221119242342549,0.9231553689262147,0.8695212129861041,0.5490595921981192,0.7000000000000003
GAT,7,290,14.37,0.7750000000000002,0.768,0.8121827411167513,0.7894736842105263,0.8727058610381375,0.9271278109877598,0.9611576105650466,0.847270221649883,0.7750000000000002,0.5086058519793459,0.5457063711911357,0.5265033407572383,0.746158890188878,0.9362327534493101,0.8758771026427128,0.5620821077339037,0.7750000000000002
GAT,314,303,24.57,0.7500000000000002,0.7416267942583732,0.7868020304568528,0.7635467980295566,0.8569800105850263,0.9180187873612298,0.9549175344055425,0.8274545118406378,0.7500000000000002,0.4986571172784244,0.5143120960295475,0.5063636363636363,0.7357444386057103,0.9348530293941212,0.8602932896053432,0.5441464124721972,0.7500000000000002
GATv2,42,172,16.36,0.8000000000000003,0.79421768707483,0.7901861252115059,0.7921967769296013,0.8751474734656558,0.9302590378593795,0.9583392688178021,0.8326845126108012,0.8000000000000003,0.46993524514338575,0.469067405355494,0.46950092421441775,0.7163388634415686,0.931133773245351,0.857426113493612,0.4651267868924211,0.8000000000000003
GATv2,123,368,29.05,0.8250000000000003,0.8278260869565217,0.805414551607445,0.8164665523156089,0.8899738904922754,0.9390834044975804,0.9682124405438178,0.8674911776661802,0.8250000000000003,0.5389380530973451,0.5623268698060941,0.5503840939900587,0.7592091382662729,0.9403119376124776,0.8835284345970766,0.575832664309534,0.8250000000000003
GATv2,2026,253,18.02,0.8000000000000003,0.779050736497545,0.805414551607445,0.7920133111480865,0.8745437434861312,0.9288357529177341,0.962505689379015,0.8544833285354273,0.8000000000000003,0.47802197802197804,0.5623268698060941,0.5167585914297836,0.7399982480435883,0.9316736652669466,0.8845609438127674,0.5482582522371575,0.8000000000000003
GATv2,7,390,28.74,0.8000000000000003,0.8161888701517707,0.8189509306260575,0.8175675675675675,0.8902969642014489,0.9385140905209223,0.9671672162056676,0.8600434078096109,0.8000000000000003,0.4977085242896425,0.5013850415512465,0.49954001839926404,0.732315090377839,0.9347330533893221,0.8729041846020678,0.4979132695814008,0.8000000000000003
GATv2,314,314,28.12,0.7750000000000002,0.7916666666666666,0.7715736040609137,0.781491002570694,0.8689841085562123,0.9274124679760888,0.9595382366804833,0.8395727173752735,0.7750000000000002,0.5481209899175069,0.5521698984302862,0.5501379944802208,0.7593788220491973,0.9413317336532694,0.8732242242496632,0.5781091765787068,0.7750000000000002
TempEdge-ResGNN,42,221,14.52,0.7750000000000002,0.8930921052631579,0.9187817258883249,0.9057547956630525,0.9431811561977524,0.9678337603188158,0.9861619246488799,0.9511681892502749,0.7750000000000002,0.6067510548523207,0.6638965835641736,0.6340388007054674,0.803663324142641,0.9502099580083984,0.8986181929077555,0.6761753832723066,0.7750000000000002
TempEdge-ResGNN,123,153,13.14,0.7250000000000003,0.8259493670886076,0.883248730964467,0.8536385936222404,0.9113962397716578,0.9490463990890976,0.9788349309920309,0.9059566996024658,0.7250000000000003,0.4119601328903654,0.6869806094182825,0.5150571131879543,0.7345243859591868,0.9159568086382723,0.8988241971418164,0.627066164648532,0.7250000000000003
